"Code","Scientific_Name","Description_en","Description_fr","Description_es"
"AAA","Acipenser naccarii","Adriatic sturgeon","Esturgeon de l'Adriatique","Esturión del Adriático"
"AAB","Acanthopagrus bifasciatus","Twobar seabream","Pagre double bande","Sargo de dos bandas"
"AAC","Amia calva","Bowfin","",""
"AAD","Acipenser dabryanus","Yangtze sturgeon","",""
"AAE","Antennarius analis","Tailjet frogfish","",""
"AAF","Acipenser fulvescens","Lake sturgeon","",""
"AAG","Anguilla bengalensis","Indian mottled eel","",""
"AAH","Acipenser schrenckii","Amur sturgeon","",""
"AAI","Acipenser sinensis","Chinese sturgeon","",""
"AAJ","Anguilla mossambica","African longfin eel","",""
"AAK","Acipenser mikadoi","Sakhalin sturgeon","",""
"AAL","Anguilla marmorata","Giant mottled eel","",""
"AAM","Acipenser medirostris","Green sturgeon","Esturgeon vert","Esturión verde"
"AAN","Acipenser nudiventris","Fringebarbel sturgeon","Esturgeon barbillons frangés","Esturión barba de flecos"
"AAO","Acipenser oxyrinchus","Atlantic sturgeon","",""
"AAP","Acipenser persicus","Persian sturgeon","",""
"AAQ","Anguilla dieffenbachii","New Zealand longfin eel","",""
"AAR","Anguilla reinhardtii","Speckled longfin eel","",""
"AAS","Astacus astacus","Noble crayfish","Écrevisse à pieds rouges","Cangrejo de río de patas rojas"
"AAT","Anguilla bicolor","","",""
"AAU","Acipenser multiscutatus","Japanese sturgeon","",""
"AAV","Acaronia vultuosa","","",""
"AAW","Anableps anableps","Largescale foureyes","",""
"AAX","Aaptosyax grypus","","",""
"AAY","Acipenser brevirostrum","Shortnose sturgeon","",""
"AAZ","Aploactis aspera","","",""
"ABA","Albulichthys albuloides","","",""
"ABB","Abbottina rivularis","Chinese false gudgeon","",""
"ABC","Amblypharyngodon microlepis","","",""
"ABD","Alburnus albidus","","",""
"ABE","Aborichthys elongatus","","",""
"ABF","Haliotis rufescens","Red abalone","Ormeau rouge","Abulón colorado"
"ABG","Haliotis gigantea","Giant abalone","Ormeau géant","Abulón gigante"
"ABH","Astroblepus chotae","","",""
"ABI","Alburnoides bipunctatus","Schneider","",""
"ABJ","Haliotis discus","Japanese abalone","Ormeau japonais","Abulón japonés"
"ABK","Blicca bjoerkna","White bream","",""
"ABL","Amblypharyngodon melettinus","Attentive carplet","",""
"ABM","Haliotis diversicolor","Small abalone","",""
"ABN","Acanthobunocephalus nicoi","","",""
"ABO","Amblypharyngodon mola","Mola carplet","",""
"ABP","Haliotis midae","Perlemoen abalone","Ormeau de Mida","Oreja de mar"
"ABQ","Abramites eques","","",""
"ABR","Haliotis rubra","Blacklip abalone","Ormeau à lèvres noires","Oreja de mar de labios negros"
"ABS","Penaeus aztecus","Northern brown shrimp","Crevette royale grise","Camarón café norteño"
"ABT","Amblyrhynchichthys truncatus","","",""
"ABU","Abudefduf saxatilis","Sergeant-major","",""
"ABV","Alabes parvulus","Pygmy shore-eel","",""
"ABW","Ablabys binotatus","Redskinfish","",""
"ABX","Haliotis spp","Abalones nei","Ormeaux nca","Orejas de mar nep"
"ABY","Amblyopsis rosae","Ozark cavefish","",""
"ABZ","Ammodytes tobianus","Small sandeel","Équille","Aguacioso"
"ACA","Acromycter nezumi","","",""
"ACB","Scapharca broughtonii","Inflated ark","",""
"ACC","Gymnocephalus cernuus","Ruffe","Grémille","Acerina"
"ACD","Chlopsis dentatus","Mottled false moray","",""
"ACE","Paruroconger drachi","","",""
"ACF","Acestrorhynchus falcatus","","",""
"ACG","Acanthogobius ommaturus","","",""
"ACH","Salvelinus alpinus","Arctic char","Omble-chevalier","Trucha alpina"
"ACI","Acnodon normani","","",""
"ACJ","Japonoconger africanus","","",""
"ACK","Kaupichthys hyoproroides","False moray","",""
"ACL","Heteroconger longissimus","","",""
"ACM","Macrocephenchelys brachialis","","",""
"ACN","Aculeola nigra","Hooktooth dogfish","Squale noir","Tollo negro de cachos"
"ACO","Coloconger raniceps","","",""
"ACP","Chilorhinus platyrhynchus","Flatnose xenocongrid eel","",""
"ACQ","Astrocottus leprops","","",""
